GEOID,variable,Chinese,Korean,Spanish,Tagalog,Vietnamese
06001409000,C16001_024,NA,NA,NA,NA,46
06001409000,C16001_029,NA,NA,NA,8,NA
06001409100,C16001_005,NA,NA,437,NA,NA
06001409100,C16001_020,NA,0,NA,NA,NA
06001409100,C16001_023,17,NA,NA,NA,NA
06001409100,C16001_024,NA,NA,NA,NA,8
06001409100,C16001_029,NA,NA,NA,17,NA
06001409200,C16001_005,NA,NA,691,NA,NA
06001409200,C16001_020,NA,7,NA,NA,NA
06001409200,C16001_023,10,NA,NA,NA,NA
06001409200,C16001_024,NA,NA,NA,NA,0
06001409200,C16001_029,NA,NA,NA,35,NA
06001409300,C16001_005,NA,NA,1428,NA,NA
06001409300,C16001_020,NA,0,NA,NA,NA
06001409300,C16001_023,2,NA,NA,NA,NA
06001409300,C16001_024,NA,NA,NA,NA,0
06001409300,C16001_029,NA,NA,NA,20,NA
06001409400,C16001_005,NA,NA,1136,NA,NA
06001409400,C16001_020,NA,0,NA,NA,NA
06001409400,C16001_023,200,NA,NA,NA,NA
06001409400,C16001_024,NA,NA,NA,NA,89
06001409400,C16001_029,NA,NA,NA,14,NA
06001409500,C16001_005,NA,NA,1247,NA,NA
06001409500,C16001_020,NA,0,NA,NA,NA
06001409500,C16001_023,0,NA,NA,NA,NA
06001409500,C16001_024,NA,NA,NA,NA,0
06001409500,C16001_029,NA,NA,NA,24,NA
06001409600,C16001_005,NA,NA,1470,NA,NA
06001409600,C16001_020,NA,0,NA,NA,NA
06001409600,C16001_023,45,NA,NA,NA,NA
06001409600,C16001_024,NA,NA,NA,NA,162
06001409600,C16001_029,NA,NA,NA,0,NA
06001409700,C16001_005,NA,NA,1196,NA,NA
06001409700,C16001_020,NA,0,NA,NA,NA
06001409700,C16001_023,43,NA,NA,NA,NA
06001409700,C16001_024,NA,NA,NA,NA,40
06001409700,C16001_029,NA,NA,NA,0,NA
06001409800,C16001_005,NA,NA,101,NA,NA
06001409800,C16001_020,NA,0,NA,NA,NA
06001409800,C16001_023,72,NA,NA,NA,NA
06001409800,C16001_024,NA,NA,NA,NA,74
06001409800,C16001_029,NA,NA,NA,0,NA
06001409900,C16001_005,NA,NA,37,NA,NA
06001409900,C16001_020,NA,0,NA,NA,NA
06001409900,C16001_023,31,NA,NA,NA,NA
06001409900,C16001_024,NA,NA,NA,NA,0
06001409900,C16001_029,NA,NA,NA,55,NA
06001410000,C16001_005,NA,NA,16,NA,NA
06001410000,C16001_020,NA,0,NA,NA,NA
06001410000,C16001_023,32,NA,NA,NA,NA
06001410000,C16001_024,NA,NA,NA,NA,0
06001410000,C16001_029,NA,NA,NA,0,NA
06001410100,C16001_005,NA,NA,199,NA,NA
06001410100,C16001_020,NA,0,NA,NA,NA
06001410100,C16001_023,27,NA,NA,NA,NA
06001410100,C16001_024,NA,NA,NA,NA,0
06001410100,C16001_029,NA,NA,NA,6,NA
06001410200,C16001_005,NA,NA,532,NA,NA
06001410200,C16001_020,NA,0,NA,NA,NA
06001410200,C16001_023,0,NA,NA,NA,NA
06001410200,C16001_024,NA,NA,NA,NA,0
06001410200,C16001_029,NA,NA,NA,42,NA
06001410300,C16001_005,NA,NA,1165,NA,NA
06001410300,C16001_020,NA,0,NA,NA,NA
06001410300,C16001_023,12,NA,NA,NA,NA
06001410300,C16001_024,NA,NA,NA,NA,17
06001410300,C16001_029,NA,NA,NA,0,NA
06001410400,C16001_005,NA,NA,908,NA,NA
06001410400,C16001_020,NA,0,NA,NA,NA
06001410400,C16001_023,98,NA,NA,NA,NA
06001410400,C16001_024,NA,NA,NA,NA,78
06001410400,C16001_029,NA,NA,NA,0,NA
06001410500,C16001_005,NA,NA,8,NA,NA
06001410500,C16001_020,NA,0,NA,NA,NA
06001410500,C16001_023,159,NA,NA,NA,NA
06001410500,C16001_024,NA,NA,NA,NA,76
06001410500,C16001_029,NA,NA,NA,23,NA
06001420100,C16001_005,NA,NA,24,NA,NA
06001420100,C16001_020,NA,9,NA,NA,NA
06001420100,C16001_023,67,NA,NA,NA,NA
